,Year,Avg. 30 Year Fixed Mortgage Rate,Avg. 15 Year Fixed Mortgage Rate,Avg. Median Home Sale Price,Avg. Housing Inventory,Avg. Home Price Index,Avg. GDP (Billions of $),Avg. CPI,Avg. Unemployment Rate,Avg. Household Debt to GDP
0,1963,,,18050.0,,,637.45,31.81,5.64,
1,1964,,,18925.0,,,684.46,32.3,5.16,
2,1965,,,20125.0,,,742.29,32.73,4.51,
3,1966,,,21500.0,,,813.41,33.55,3.79,
4,1967,,,22750.0,,,859.96,34.71,3.84,
5,1968,,,24800.0,,,940.65,36.32,3.56,
6,1969,,,25600.0,,,1017.62,38.42,3.49,
7,1970,,,23475.0,,,1073.31,40.82,4.98,
8,1971,7.54,,25225.0,,,1164.85,42.73,5.95,
9,1972,7.38,,27525.0,,,1279.11,44.04,5.6,
10,1973,8.04,,32600.0,,,1425.38,45.58,4.86,
11,1974,9.19,,36050.0,,,1545.24,49.36,5.64,
12,1975,9.05,,39275.0,,,1684.9,53.91,8.48,
13,1976,8.87,,44225.0,,,1873.41,57.44,7.7,
14,1977,8.85,,48900.0,,,2081.82,61.03,7.05,
15,1978,9.64,,55850.0,,,2351.6,65.48,6.07,
16,1979,11.2,,62750.0,,,2627.33,71.86,5.85,
17,1980,13.74,,64750.0,,,2857.31,80.78,7.18,
18,1981,16.64,,68950.0,,,3207.04,89.25,7.62,
19,1982,16.04,,69225.0,,,3343.79,95.85,9.71,
20,1983,13.24,,75375.0,,,3634.04,99.6,9.6,
21,1984,13.88,,79950.0,,,4037.61,104.7,7.51,
22,1985,12.43,,84275.0,,,4338.98,109.28,7.19,
23,1986,10.19,,92025.0,,,4579.63,113.71,7.0,
24,1987,10.21,,104700.0,,66.26,4855.22,118.18,6.18,
25,1988,10.34,,112225.0,,71.14,5236.44,123.42,5.49,
26,1989,10.32,,120425.0,,75.51,5641.58,128.97,5.26,
27,1990,10.13,,122300.0,,76.94,5963.14,135.46,5.62,
28,1991,9.25,8.4,119975.0,,75.93,6158.13,142.12,6.85,
29,1992,8.39,7.94,121375.0,,76.33,6520.33,147.32,7.49,
30,1993,7.31,6.82,126500.0,,77.41,6858.56,152.2,6.91,
31,1994,8.38,7.89,130425.0,,79.47,7287.24,156.5,6.1,
32,1995,7.93,7.48,133475.0,,80.99,7639.75,161.22,5.59,
33,1996,7.81,7.32,140250.0,,82.81,8073.12,165.56,5.41,
34,1997,7.6,7.13,145000.0,,85.32,8577.55,169.51,4.94,
35,1998,6.94,6.59,151925.0,,90.1,9062.82,173.38,4.5,
36,1999,7.44,7.06,160125.0,,96.37,9631.17,176.98,4.22,
37,2000,8.05,7.72,167550.0,1109670.0,104.78,10250.95,181.29,3.97,
38,2001,6.97,6.5,173100.0,1263000.0,113.19,10581.93,186.12,4.74,
39,2002,6.54,5.98,186025.0,1224000.0,122.29,10929.11,190.44,5.78,
40,2003,5.83,5.17,192125.0,1315500.0,133.74,11456.45,193.22,5.99,
41,2004,5.84,5.21,218150.0,1319250.0,150.46,12217.2,196.64,5.54,
42,2005,5.87,5.42,236550.0,1467500.0,171.78,13039.2,200.87,5.08,90.68
43,2006,6.41,6.07,243750.0,1853500.0,183.48,13815.58,205.92,4.61,95.35
44,2007,6.34,6.03,244950.0,2135000.0,179.94,14474.23,210.73,4.62,98.15
45,2008,6.03,5.62,229550.0,2229750.0,164.06,14769.86,215.57,5.8,99.06
46,2009,5.04,4.57,215650.0,2036000.0,148.55,14478.07,219.24,9.28,99.27
47,2010,4.69,4.1,222700.0,2000250.0,144.67,15048.97,221.34,9.61,94.12
48,2011,4.45,3.68,224900.0,1902250.0,139.24,15599.73,225.01,8.93,89.93
49,2012,3.66,2.93,244400.0,1555750.0,140.99,16253.97,229.76,8.07,85.69
50,2013,3.98,3.1,266225.0,1538250.0,154.52,16880.68,233.81,7.36,82.9
51,2014,4.17,3.29,285775.0,1452500.0,164.68,17608.14,237.9,6.16,80.86
52,2015,3.85,3.09,294150.0,1421750.0,172.17,18295.02,242.26,5.28,79.09
53,2016,3.65,2.93,305125.0,1348500.0,180.91,18804.91,247.6,4.88,78.79
54,2017,3.99,3.27,322425.0,1256500.0,191.39,19612.1,252.15,4.36,78.2
55,2018,4.54,4.0,325275.0,1191500.0,202.46,20656.52,257.56,3.89,76.75
56,2019,3.94,3.39,320250.0,1113750.0,209.45,21521.4,263.21,3.68,76.27
57,2020,3.11,2.6,336950.0,838500.0,222.12,21322.95,267.7,8.09,80.03
58,2021,2.96,2.27,396800.0,727000.0,260.06,23594.03,277.25,5.37,77.97
59,2022,5.34,4.58,457475.0,714250.0,298.52,25744.11,294.3,3.64,76.64
60,2023,6.77,6.07,426166.67,682670.0,302.56,27166.72,307.08,3.62,74.67
